No,Filename,Width,Height,AspectRatio,PixelAspectRatio,RatioSource,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,desktop-proof.png,1440,1698,0.85,0.85,pixel,1,,bitmap,True,True,248.1,Near square,509x600,631x600
2,mobile-proof.png,1170,14589,0.08,0.08,pixel,1,,bitmap,True,True,1205.4,Portrait,48x600,1092x600
